group	name
880-887   	open wound of upper limb
890-897   	open wound of lower limb
900-904   	injury to blood vessels
905-909   	late effects of injuries, poisonings, toxic effects, and other external causes
910-919   	superficial injury
920-924   	contusion with intact skin surface
925-929   	crushing injury
930-939   	effects of foreign body entering through body orifice
940-949   	burns
950-957   	injury to nerves and spinal cord
958-959   	certain traumatic complications and unspecified injuries
960-979   	poisoning by drugs, medicinal and biological substances
980-989   	toxic effects of substances chiefly nonmedicinal as to source
990-995   	other and unspecified effects of external causes
996-999   	complications of surgical and medical care, not elsewhere classified
E000-E000 	external cause status
E001-E030 	activity
E800-E807 	railway accidents
E810-E819 	motor vehicle traffic accidents
E820-E825 	motor vehicle non-traffic accidents
E826-E829 	other road vehicle accidents
E830-E838 	water transport accidents
E840-E845 	air and space transport accidents
E846-E849 	vehicle accidents not elsewhere classifiable
E850-E858 	accidental poisoning by drugs, medicinal substances, and biologicals
E860-E869 	accidental poisoning by other solid and liquid substances, gases, and vapors
E870-E876 	misadventures to patients during surgical and medical care
E878-E879 	surgical and medical procedures as the cause of abnormal reaction of patient or later complication, without mention of misadventure at the time of procedure
E880-E888 	accidental falls
E890-E899 	accidents caused by fire and flames
E900-E909 	accidents due to natural and environmental factors
E910-E915 	accidents caused by submersion, suffocation, and foreign bodies
E916-E928 	other accidents
E929-E929 	late effects of accidental injury
E930-E949 	drugs, medicinal and biological substances causing adverse effects in therapeutic use
E950-E959 	suicide and self-inflicted injury
E960-E969 	homicide and injury purposely inflicted by other persons
E970-E979 	legal intervention
E980-E989 	injury undetermined whether accidentally or purposely inflicted
E990-E999 	injury resulting from operations of war
V01-V06   	ersons with potential health hazards related to communicable diseases
V07-V09   	ersons with need for isolation, other potential health hazards and prophylactic measures
V10-V19   	ersons with potential health hazards related to personal and family history
V20-V29   	ersons encountering health services in circumstances related to reproduction and development
V30-V39   	ive-born infants according to type of birth
V40-V49   	ersons with a condition influencing their health status
V50-V59   	ersons encountering health services for specific procedures and aftercare
V60-V69   	ersons encountering health services in other circumstances
V70-V82   	ersons without reported diagnosis encountered during examination and investigation of individuals and populations
V83-V84   	enetics
V85-V85   	body mass index
V86-V86   	estrogen receptor status
V87-V87   	other specified personal exposures and history presenting hazards to health
V88-V88   	acquired absence of other organs and tissue
V90-V90   	retained foreign body
V91-V91   	multiple gestation placenta statu
00-00	procedures and interventions , not elsewhereclassified
01-05	operations on the nervous system
06-07	operations on the endocrine system
08-16	operations on the eye
17-17	other miscellaneous diagnostic andtherapeutic procedures
18-20	operations on the ear
21-29	operations on the nose, mouth, and pharynx
30-34	operations on the respiratory system
35-39	operations on the cardiovascular system
40-41	operations on the hemic and lymphatic system
42-54	operations on the digestive system
55-59	operations on the urinary system
60-64	operations on the male genital organs
65-71	operations on the female genital organs
72-75	obstetrical procedures
76-84	operations on the musculoskeletal system
85-86	operations on the integumentary system
87-99	miscellaneous diagnostic and therapeuticprocedures
