code,total,train,dev,test
293.0,1434,1233,63,138
414.00,1429,1248,54,127
008.45,1428,1282,50,96
54.91,1420,1267,47,106
35.21,1415,1249,52,114
276.8,1400,1192,68,140
V30.01,1391,1391,0,0
285.21,1366,1239,38,89
443.9,1364,1213,56,95
V45.01,1360,1226,42,92
578.9,1355,1248,33,74
276.51,1348,1200,44,104
276.52,1347,1151,60,136
E878.8,1317,1146,53,118
769,1299,1299,0,0
276.5,1294,1293,0,1
431,1294,1128,63,103
427.5,1281,1163,41,77
V49.86,1275,993,100,182
799.02,1267,1064,69,134
707.03,1260,1131,38,91
995.91,1250,1085,61,104
571.5,1250,1108,50,92
88.41,1243,1107,44,92
263.9,1240,1099,38,103
V10.3,1228,1083,46,99
00.66,1226,1057,48,121
428.32,1221,1040,46,135
99.05,1211,1181,10,20
428.33,1210,1038,53,119
998.12,1199,1111,30,58
427.32,1191,1051,42,98
E878.2,1189,995,59,135
070.54,1187,1077,35,75
V10.46,1180,1031,45,104
491.21,1177,1043,42,92
998.59,1174,1050,36,88
36.06,1166,1106,17,43
571.2,1163,1025,50,88
280.9,1156,1027,38,91
278.01,1150,995,48,107
428.23,1127,928,61,138
250.60,1114,977,44,93
785.51,1108,1017,26,65
36.07,1100,1007,25,68
294.8,1093,972,45,76
428.22,1081,920,47,114
285.29,1078,947,42,89
413.9,1078,961,42,75
300.4,1076,901,60,115
560.1,1056,937,36,83
89.64,1049,1020,11,18
779.3,1047,1047,0,0
V12.54,1043,839,69,135
787.91,1037,900,37,100
570,1034,933,40,61
770.81,1033,1033,0,0
E849.7,1024,858,53,113
788.20,1012,853,61,98
33.22,999,917,25,57
33.23,994,902,32,60
36.01,994,992,1,1
280.0,991,905,29,57
37.61,986,930,18,38
286.9,985,867,40,78
572.3,984,856,46,82
790.92,971,845,43,83
V66.7,968,808,51,109
276.3,967,820,45,102
E888.9,965,878,30,57
041.4,958,831,48,79
V30.00,949,949,0,0
789.59,946,764,50,132
36.11,945,858,35,52
577.0,943,844,26,73
996.62,943,911,7,25
250.40,933,851,24,58
345.90,933,787,50,96
348.5,923,710,75,138
998.2,900,829,15,56
305.00,884,775,35,74
V58.65,881,760,27,94
715.90,873,722,48,103
765.27,869,869,0,0
V31.01,853,853,0,0
362.01,849,780,19,50
414.8,848,765,25,58
415.19,845,754,31,60
288.60,844,677,57,110
00.45,843,720,40,83
562.10,830,711,34,85
00.17,818,812,1,5
198.5,813,719,28,66
564.00,810,674,49,87
88.55,808,776,12,20
64.0,805,805,0,0
V43.65,795,675,38,82
291.81,788,691,34,63
482.41,786,764,9,13
428.30,785,755,9,21
512.1,780,704,28,48
V43.64,777,678,36,63
433.10,773,680,30,63
397.0,764,699,23,42
197.7,762,688,26,48
765.18,762,762,0,0
99.62,760,681,29,50
997.4,754,686,18,50
38.7,750,669,27,54
V10.05,748,673,22,53
45.23,744,686,19,39
518.82,743,705,16,22
198.3,738,648,36,54
00.14,732,681,14,37
493.20,732,647,30,55
197.0,729,656,31,42
682.6,728,653,27,48
V50.2,724,724,0,0
585.3,723,595,34,94
88.42,723,646,21,56
V45.02,711,632,17,62
365.9,701,581,37,83
434.91,700,639,19,42
303.91,699,592,33,74
041.11,693,627,20,46
E878.1,691,570,39,82
V17.3,686,609,18,59
338.29,685,547,45,93
518.89,679,581,33,65
E934.2,678,600,20,58
E885.9,678,593,30,55
54.59,675,613,20,42
V15.3,675,551,43,81
578.1,674,581,30,63
518.84,672,611,19,42
88.47,667,590,27,50
593.9,663,625,14,24
348.30,659,538,43,78
V43.3,655,630,10,15
070.70,655,580,30,45
V09.0,655,652,2,1
99.10,654,593,23,38
348.4,654,526,41,87
572.2,654,587,23,44
745.5,651,592,18,41
441.4,650,587,25,38
39.50,650,608,13,29
576.1,649,577,23,49
86.59,647,577,20,50
553.3,643,554,22,67
714.0,640,556,31,53
112.0,638,552,28,58
349.82,635,514,35,86
434.11,630,555,24,51
V15.81,626,528,30,68
492.8,621,546,29,46
430,617,540,23,54
041.04,609,527,22,60
01.59,604,512,39,53
779.81,601,601,0,0
453.8,599,577,7,15
294.10,593,510,21,62
44.43,590,532,20,38
99.60,588,533,19,36
785.0,588,485,24,79
583.81,578,540,10,28
45.16,578,505,20,53
296.80,578,490,27,61
303.90,577,518,18,41
287.4,576,539,11,26
V45.11,573,481,42,50
276.6,568,508,16,44
780.57,563,539,8,16
996.74,562,506,14,42
88.48,561,504,20,37
V44.0,560,511,4,45
96.05,558,525,8,25
410.41,557,517,17,23
780.09,555,458,30,67
E933.1,554,478,25,51
331.0,552,477,17,58
427.41,551,502,22,27
37.21,551,512,10,29
331.4,547,471,29,47
997.31,545,415,39,91
E932.0,543,480,23,40
693.0,539,473,29,37
86.22,538,504,13,21
96.07,538,510,11,17
410.11,532,502,16,14
515,529,452,22,55
276.4,523,443,26,54
88.52,522,495,11,16
042,522,470,22,30
789.5,518,518,0,0
519.19,518,454,24,40
38.45,517,467,15,35
765.28,515,515,0,0
426.0,514,463,15,36
346.90,514,428,34,52
038.11,511,486,10,15
V70.7,510,414,33,63
35.22,506,456,15,35
785.59,505,458,16,31
E880.9,505,434,22,49
V10.11,502,441,18,43
332.0,501,458,6,37
V10.83,501,419,22,60
996.81,500,480,6,14
536.3,499,463,13,23
459.81,499,427,25,47
99.25,498,441,18,39
V44.1,497,445,11,41
599.7,497,494,1,2
770.6,494,494,0,0
253.6,494,421,28,45
765.19,488,488,0,0
765.26,487,487,0,0
428.21,484,404,24,56
787.20,482,391,25,66
441.2,479,430,13,36
V45.89,477,376,43,58
724.2,475,400,29,46
557.0,474,422,13,39
784.3,472,378,32,62
51.87,472,415,25,32
01.31,471,412,24,35
041.3,470,402,19,49
342.90,465,392,25,48
414.02,464,436,6,22
038.42,464,410,12,42
V42.2,463,417,16,30
996.72,460,428,14,18
765.17,456,456,0,0
286.7,456,415,13,28
99.29,455,414,9,32
284.1,454,395,18,41
250.02,452,396,14,42
438.89,452,377,21,54
V46.2,451,354,36,61
401.1,451,349,30,72
275.3,451,363,29,59
E879.0,450,386,18,46
46.39,445,418,9,18
770.89,444,444,0,0
997.5,444,409,16,19
51.22,443,403,10,30
37.78,441,416,6,19
37.83,440,402,10,28
37.72,439,401,10,28
39.90,437,409,11,17
250.50,435,387,16,32
51.85,434,383,18,33
02.2,433,402,15,16
286.6,432,399,9,24
423.9,430,395,11,24
535.50,430,369,22,39
250.80,430,366,24,40
790.4,430,353,20,57
398.91,429,420,3,6
428.31,427,372,20,35
438.20,426,385,14,27
356.9,426,367,17,42
707.15,426,385,14,27
440.20,425,385,9,31
198.89,425,378,20,27
36.14,424,371,20,33
577.1,424,372,18,34
707.22,423,343,26,54
482.1,423,398,7,18
348.1,422,382,10,30
V10.52,420,368,14,38
V10.82,419,372,20,27
780.2,419,346,15,58
E878.0,418,390,5,23
578.0,416,372,21,23
733.90,415,356,24,35
250.61,412,396,2,14
37.34,412,380,11,21
997.02,412,367,10,35
00.46,411,359,15,37
780.6,410,409,0,1
456.21,409,351,17,41
428.20,408,390,5,13
776.6,406,406,0,0
35.12,406,356,14,36
37.26,404,380,9,15
250.13,401,364,15,22
V87.41,400,307,27,66
00.13,400,400,0,0
45.62,400,362,8,30
568.0,400,359,13,28
591,398,359,14,25
38.92,398,398,0,0
041.7,398,332,16,50
416.0,395,375,10,10
37.0,395,359,14,22
861.21,393,343,15,35
682.2,392,357,11,24
038.49,391,352,12,27
997.3,388,387,1,0
786.3,386,364,9,13
427.81,385,335,15,35
03.90,384,337,16,31
747.0,382,382,0,0
305.01,382,334,11,37
305.60,381,334,13,34
421.0,380,359,6,15
396.2,380,354,12,14
432.1,380,328,17,35
728.88,378,325,14,39
707.14,377,356,12,9
V15.88,372,315,23,34
275.41,368,310,15,43
39.79,367,330,12,25
162.8,367,335,7,25
038.0,366,329,16,21
852.21,363,300,24,39
E849.8,362,314,14,34
292.81,359,309,22,28
33.21,358,326,10,22
39.29,357,324,10,23
860.0,355,311,14,30
99.61,355,328,10,17
765.16,353,353,0,0
276.69,353,270,30,53
576.2,353,303,15,35
285.22,351,294,21,36
724.5,350,294,16,40
437.3,350,306,11,33
729.1,350,300,15,35
00.41,349,307,10,32
31.42,347,315,7,25
410.91,345,327,8,10
35.23,345,320,3,22
93.59,345,324,9,12
303.01,345,304,19,22
E849.0,344,307,14,23
39.72,343,295,15,33
574.20,343,292,17,34
456.20,341,311,12,18
42.33,338,308,13,17
779.89,336,336,0,0
396.3,336,313,6,17
81.62,335,298,14,23
774.6,334,334,0,0
112.2,333,285,14,34
572.4,333,296,10,27
V10.51,333,279,12,42
873.0,332,289,15,28
790.29,332,278,15,39
537.89,331,271,19,41
V42.0,330,310,5,15
81.63,329,283,16,30
453.41,329,272,17,40
585.4,329,287,7,35
564.09,328,274,18,36
562.12,328,302,8,18
79.35,327,296,9,22
276.50,326,282,18,26
202.80,326,291,9,26
155.0,324,276,21,27
86.04,324,293,11,20
428.43,323,270,19,34
518.83,323,294,4,25
440.24,322,299,9,14
E947.8,322,279,13,30
162.3,321,280,9,32
50.11,321,301,6,14
41.31,320,281,10,29
V08,319,283,15,21
710.0,317,291,11,15
81.91,317,282,9,26
284.8,316,316,0,0
211.3,314,287,8,19
40.3,314,282,8,24
600.01,313,251,20,42
54.11,313,284,9,20
42.23,312,305,3,4
250.41,312,305,2,5
94.62,311,266,15,30
746.4,311,263,13,35
250.01,309,294,3,12
197.6,305,276,10,19
34.09,305,271,11,23
805.4,304,271,12,21
707.05,304,273,9,22
780.52,303,248,14,41
303.93,302,245,19,38
E878.6,299,253,14,32
V12.59,299,297,0,2
041.85,299,237,19,43
518.4,299,248,23,28
86.11,298,271,9,18
805.2,298,263,11,24
765.15,298,298,0,0
291.0,298,258,14,26
571.1,297,246,15,36
340,297,262,9,26
493.22,295,253,11,31
733.13,295,259,17,19
784.7,295,260,11,24
89.68,295,294,1,0
788.30,295,246,17,32
530.85,295,251,6,38
39.64,295,274,6,15
45.25,294,258,7,29
185,294,255,9,30
790.01,293,234,21,38
041.19,293,251,9,33
780.60,292,225,20,47
707.07,292,264,7,21
86.28,291,249,12,30
414.2,290,222,20,48
787.01,289,241,12,36
77.79,289,255,10,24
54.12,289,257,9,23
88.57,288,276,3,9
255.4,287,287,0,0
458.0,285,241,13,31
50.59,285,265,9,11
45.73,284,256,7,21
V12.72,283,248,9,26
696.1,283,230,14,39
79.36,282,255,9,18
03.09,282,247,14,21
775.6,281,281,0,0
00.93,281,256,10,15
765.25,280,280,0,0
E928.9,280,231,12,37
43.19,279,258,5,16
999.31,279,240,15,24
84.51,279,246,13,20
309.81,279,249,9,21
788.5,278,229,17,32
576.8,278,241,10,27
348.39,278,235,13,30
440.0,277,243,9,25
V58.66,276,209,19,48
81.05,276,244,11,21
716.90,276,215,30,31
304.01,275,242,10,23
02.12,275,225,19,31
V49.75,274,241,11,22
89.60,274,274,0,0
426.3,274,228,14,32
250.51,274,264,1,9
070.32,273,247,8,18
348.31,272,233,13,26
782.3,271,224,18,29
571.8,271,224,18,29
97.23,271,246,9,16
458.8,271,245,6,20
532.40,269,238,10,21
555.9,268,238,9,21
410.72,267,243,6,18
560.9,266,245,2,19
37.27,266,240,10,16
03.53,266,228,13,25
585,263,263,0,0
707.0,262,262,0,0
275.2,262,213,14,35
997.2,261,245,3,13
725,261,224,12,25
784.0,261,221,13,27
531.40,261,233,6,22
250.63,259,242,7,10
440.23,259,239,11,9
37.33,259,233,8,18
482.83,258,229,9,20
873.42,257,231,4,22
51.88,257,224,14,19
433.30,256,218,10,28
97.44,255,236,4,15
V60.0,255,236,6,13
452,251,219,11,21
92.29,250,217,9,24
440.21,250,223,9,18
808.2,250,217,15,18
E812.0,249,224,4,21
135,249,229,3,17
786.59,248,206,16,26
196.2,247,223,8,16
275.42,247,219,7,21
266.2,245,207,12,26
799.4,245,209,16,20
38.44,244,223,8,13
196.1,244,215,13,16
345.3,243,206,16,21
295.90,243,214,10,19
369.4,241,219,8,14
782.1,241,205,10,26
288.00,241,196,6,39
344.1,240,220,6,14
556.9,239,214,4,21
333.94,239,200,10,29
852.20,239,228,2,9
041.12,237,191,12,34
37.94,237,225,3,9
438.11,236,215,7,14
V34.01,235,235,0,0
35.33,233,217,7,9
780.97,233,182,14,37
E814.7,233,215,4,14
567.22,233,202,8,23
39.49,232,220,4,8
E930.8,232,195,13,24
562.11,231,205,4,22
440.1,231,217,5,9
998.32,231,204,8,19
40.11,230,209,8,13
802.4,228,212,2,14
564.1,227,191,12,24
482.9,226,191,15,20
519.1,226,225,0,1
423.3,226,180,18,28
560.81,226,206,6,14
V45.86,225,182,17,26
51.10,225,196,6,23
441.01,224,202,8,14
569.83,224,193,7,24
771.81,223,223,0,0
V13.01,223,191,15,17
V49.87,222,170,20,32
389.9,221,175,14,32
802.0,221,196,4,21
482.0,221,202,5,14
362.50,221,181,10,30
86.69,221,192,9,20
E935.2,221,181,12,28
35.24,220,206,7,7
V45.4,219,192,9,18
729.89,219,178,12,29
189.0,217,201,9,7
596.54,216,189,7,20
V44.3,215,195,8,12
36.05,215,215,0,0
682.3,214,199,4,11
V45.79,214,179,11,24
599.70,213,155,28,30
255.41,213,169,7,37
225.2,213,173,18,22
765.14,212,212,0,0
E816.0,212,193,8,11
41.5,212,195,4,13
792.1,211,185,9,17
567.2,211,211,0,0
996.64,211,188,7,16
45.24,210,183,8,19
802.8,209,181,5,23
996.59,209,183,5,21
788.29,209,170,13,26
530.19,208,172,12,24
80.51,208,186,7,15
197.2,208,195,3,10
455.0,207,175,6,26
238.71,207,164,15,28
V44.2,207,178,7,22
785.6,207,180,12,15
041.6,207,178,11,18
458.2,205,205,0,0
V46.11,205,175,3,27
998.89,205,190,7,8
965.4,204,179,9,16
038.8,203,187,5,11
295.70,203,182,9,12
261,203,181,5,17
451.82,202,169,9,24
041.86,201,172,10,19
250.12,201,168,7,26
577.2,201,167,11,23
592.0,200,181,7,12
933.1,199,176,10,13
E879.2,199,168,12,19
37.12,199,183,8,8
996.73,199,187,0,12
86.05,199,186,5,8
E915,198,174,7,17
411.89,198,162,14,22
87.54,198,186,1,11
250.62,198,164,15,19
415.11,197,176,6,15
568.81,197,168,7,22
34.03,197,185,3,9
E879.6,197,165,11,21
244.0,197,172,7,18
39.31,196,179,4,13
444.22,196,176,8,12
721.0,196,167,14,15
530.10,195,166,10,19
99.06,194,192,1,1
238.75,194,170,3,21
437.0,194,165,13,16
781.94,193,150,15,28
296.7,193,192,0,1
765.24,193,193,0,0
E950.3,193,175,4,14
780.61,192,144,12,36
572.8,192,169,8,15
867.0,191,159,8,24
V45.73,191,156,7,28
999.9,191,183,3,5
481,191,176,9,6
83.82,191,170,8,13
250.11,190,190,0,0
041.49,189,152,15,22
510.9,189,177,3,9
724.00,188,144,15,29
530.7,188,167,11,10
V12.04,188,157,8,23
707.09,187,170,6,11
808.0,187,163,11,13
205.00,186,170,4,12
567.23,185,154,14,17
770.7,185,185,0,0
807.01,185,153,11,21
35.71,184,171,7,6
558.9,184,159,6,19
251.8,184,184,0,0
456.8,183,159,10,14
494.0,183,152,4,27
560.89,182,161,5,16
E912,182,148,10,24
V09.80,182,151,9,22
682.7,181,166,10,5
715.36,181,152,11,18
250.43,181,174,2,5
493.92,181,159,5,17
305.90,181,175,1,5
785.50,181,146,12,23
770.8,180,180,0,0
790.5,180,158,8,14
99.14,180,154,11,15
530.3,179,145,10,24
425.1,179,171,2,6
204.10,179,144,12,23
920,179,148,10,21
E870.0,178,155,9,14
V18.0,178,170,2,6
599.71,178,126,19,33
203.00,178,160,7,11
V49.83,177,157,6,14
81.03,177,152,8,17
96.56,177,164,6,7
553.1,177,162,8,7
424.2,177,147,11,19
81.02,177,167,3,7
428.42,177,158,5,14
999.2,177,162,6,9
305.50,175,154,4,17
511.89,175,145,8,22
E950.0,175,154,6,15
783.21,174,142,16,16
724.02,174,147,5,22
84.52,174,147,11,16
V45.1,174,174,0,0
996.82,173,169,0,4
E879.1,173,150,6,17
V64.1,173,144,11,18
289.81,173,142,13,18
575.0,173,150,7,16
319,172,158,4,10
362.21,172,172,0,0
518.51,172,124,19,29
V10.87,172,160,4,8
569.81,171,158,5,8
783.7,171,155,6,10
070.44,170,151,4,15
112.5,170,153,6,11
338.3,170,136,9,25
781.2,170,146,11,13
588.81,169,154,3,12
V58.69,169,139,6,24
E849.5,169,152,4,13
86.74,168,146,3,19
403.01,167,165,0,2
292.0,167,148,6,13
00.61,166,148,9,9
070.30,166,156,3,7
401.0,166,150,7,9
162.9,166,142,6,18
511.8,165,164,0,1
294.20,164,119,15,30
162.5,163,144,9,10
426.4,163,133,11,19
88.51,163,133,9,21
969.4,162,149,3,10
574.10,162,146,5,11
737.30,162,135,8,19
250.53,162,154,3,5
79.32,162,141,4,17
88.49,161,145,1,15
786.09,161,129,14,18
998.0,161,146,4,11
574.51,160,143,7,10
787.2,160,160,0,0
199.1,160,144,2,14
57.32,159,139,10,10
V10.42,159,142,7,10
V12.71,158,129,7,22
998.31,158,144,8,6
782.4,158,122,15,21
573.8,158,133,4,21
V10.06,158,124,10,24
01.39,158,146,3,9
482.42,158,124,10,24
427.0,157,139,6,12
51.98,156,135,5,16
780.79,156,132,10,14
44.32,156,151,2,3
459.2,156,144,3,9
45.76,156,137,3,16
296.20,156,140,5,11
366.9,156,133,8,15
281.9,156,130,8,18
00.63,155,139,7,9
805.6,155,141,3,11
V02.54,155,122,5,28
290.40,154,132,9,13
59.8,154,140,5,9
02.39,154,131,8,15
531.90,154,133,6,15
54.4,154,140,4,10
E939.4,153,129,9,15
807.09,153,139,4,10
V88.01,153,127,7,19
96.34,151,146,2,3
51.01,151,129,9,13
99.71,151,142,5,4
31.79,150,140,2,8
790.6,150,131,6,13
996.1,150,137,6,7
810.00,149,128,7,14
535.60,149,117,9,23
83.45,149,131,4,14
514,149,114,12,23
692.9,148,121,9,18
770.82,148,148,0,0
038.19,148,141,2,5
721.3,148,130,8,10
V45.72,148,115,5,28
268.9,148,105,11,32
535.51,147,137,6,4
780.62,147,112,14,21
805.02,146,134,1,11
473.9,146,130,4,12
307.9,146,130,4,12
533.90,145,133,4,8
420.90,145,135,4,6
55.69,145,135,3,7
443.0,145,116,10,19
519.02,144,132,6,6
V13.02,144,117,9,18
V29.3,144,144,0,0
V64.41,144,125,8,11
996.61,144,133,1,10
573.3,143,132,3,8
478.6,142,121,3,18
996.85,142,133,1,8
719.41,142,126,5,11
348.8,142,136,0,6
707.23,142,122,5,15
338.18,142,108,13,21
707.8,141,123,6,12
553.21,141,128,3,10
00.47,141,125,5,11
55.03,141,123,6,12
45.43,141,125,4,12
512.8,140,128,5,7
241.0,140,113,11,16
789.00,140,124,4,12
32.01,140,131,3,6
765.03,139,139,0,0
041.09,139,121,2,16
V62.84,139,110,13,16
E950.4,139,124,2,13
83.14,139,119,5,15
V12.55,139,108,11,20
288.50,139,116,10,13
820.21,139,127,3,9
802.6,139,129,3,7
442.3,138,127,4,7
E884.4,138,121,10,7
E935.9,138,122,6,10
V45.3,138,135,1,2
34.51,138,130,3,5
728.89,138,129,4,5
V53.31,138,127,4,7
39.63,137,124,7,6
410.01,137,125,4,8
557.9,137,122,5,10
284.19,137,104,10,23
429.9,137,121,4,12
99.21,136,134,1,1
273.8,136,117,8,11
453.42,136,108,11,17
45.93,136,125,2,9
288.0,136,136,0,0
V42.7,136,133,1,2
337.1,136,126,2,8
E849.9,136,121,5,10
54.19,135,125,1,9
707.19,135,120,5,10
277.39,135,103,12,20
860.4,134,125,1,8
54.98,134,128,3,3
729.5,134,115,5,14
79.39,134,118,6,10
780.01,134,115,6,13
934.1,134,114,7,13
263.0,133,114,5,14
794.31,133,110,11,12
314.01,133,103,16,14
766.1,132,132,0,0
008.8,132,119,5,8
426.11,132,116,4,12
197.8,132,112,7,13
287.49,132,101,9,22
55.23,132,123,4,5
324.1,131,112,6,13
410.31,131,122,0,9
998.6,131,114,3,14
45.91,130,117,0,13
293.9,130,114,8,8
585.2,130,101,8,21
46.32,130,123,0,7
250.42,130,117,6,7
590.10,130,117,4,9
852.01,130,109,4,17
997.39,130,107,7,16
995.1,130,113,5,12
112.3,129,113,5,11
88.45,129,117,5,7
198.7,129,117,2,10
868.03,129,114,8,7
511.81,129,97,12,20
569.69,129,113,3,13
426.13,129,120,2,7
50.12,128,122,5,1
784.51,128,101,9,18
117.9,128,110,6,12
V45.2,128,114,4,10
715.96,128,112,4,12
447.1,128,117,0,11
V31.00,127,127,0,0
77.61,127,115,6,6
157.0,126,111,6,9
79.66,126,111,3,12
579.3,126,117,2,7
39.51,126,122,1,3
567.29,126,112,1,13
355.8,126,113,6,7
93.96,125,125,0,0
83.39,125,106,3,16
112.84,124,110,4,10
288.03,124,96,11,17
433.11,124,107,3,14
V72.1,124,124,0,0
537.83,124,119,2,3
958.4,124,104,8,12
775.0,124,124,0,0
34.79,124,103,8,13
81.04,123,109,5,9
E944.4,123,102,8,13
807.03,123,110,5,8
550.90,123,108,4,11
787.22,123,98,5,20
23.19,123,111,2,10
557.1,122,108,8,6
038.43,122,113,3,6
48.23,122,107,3,12
89.45,122,109,7,6
01.51,122,102,11,9
403.10,122,98,10,14
80.99,122,101,8,13
V55.0,122,113,3,6
807.02,122,106,4,12
344.00,121,111,3,7
745.4,121,121,0,0
01.24,121,108,4,9
274.0,121,115,2,4
39.1,121,112,3,6
787.02,121,99,9,13
45.42,121,111,1,9
E815.0,121,112,5,4
466.0,121,119,0,2
V85.0,121,92,9,20
02.34,121,114,2,5
251.2,120,95,4,21
456.1,120,93,8,19
250.70,120,109,3,8
333.1,120,104,4,12
453.81,119,87,10,22
785.4,118,105,1,12
97.05,118,104,2,12
707.12,118,110,2,6
348.89,117,89,12,16
37.36,117,84,14,19
45.75,117,101,6,10
34.92,117,105,5,7
458.21,117,105,7,5
V16.0,116,103,3,10
707.24,116,96,5,15
775.5,116,116,0,0
707.21,116,87,11,18
46.73,116,107,2,7
32.29,116,114,0,2
238.7,116,116,0,0
038.12,116,89,10,17
33.48,116,108,2,6
519.09,116,107,3,6
501,115,103,7,5
300.01,115,94,6,15
V10.79,115,99,6,10
747.3,115,115,0,0
575.11,115,110,0,5
46.11,115,105,4,6
E930.0,114,97,6,11
864.05,114,108,0,6
289.59,114,95,5,14
33.27,114,104,2,8
34.21,114,105,3,6
410.21,114,102,4,8
535.40,114,96,5,13
305.03,114,101,3,10
V45.71,114,97,7,10
054.9,114,93,11,10
288.3,114,96,11,7
117.3,113,95,1,17
765.02,113,113,0,0
707.20,113,90,7,16
707.25,113,91,7,15
730.28,113,98,2,13
44.39,113,104,4,5
V11.3,112,99,6,7
01.18,112,112,0,0
997.49,112,89,6,17
786.50,112,94,6,12
46.21,112,100,3,9
396.8,112,103,2,7
451.84,112,97,2,13
459.0,112,101,3,8
336.3,111,95,6,10
238.4,111,97,3,11
250.82,111,99,2,10
995.94,111,101,4,6
997.09,111,101,4,6
298.9,110,92,10,8
57.94,110,92,8,10
112.89,110,90,4,16
81.08,110,95,6,9
97.49,110,92,5,13
772.11,110,110,0,0
E942.0,110,94,3,13
272.1,109,86,4,19
428.40,109,107,1,1
242.90,108,98,2,8
765.23,108,108,0,0
770.2,108,108,0,0
038.3,108,93,1,14
V49.76,108,94,5,9
E884.9,107,95,3,9
E930.5,107,90,11,6
38.18,107,99,2,6
V12.01,107,92,4,11
516.8,106,98,3,5
730.08,106,96,2,8
728.87,106,85,7,14
730.07,106,99,4,3
249.00,105,90,5,10
355.9,105,81,8,16
96.08,105,98,2,5
998.81,105,93,4,8
593.2,105,78,6,21
55.51,105,98,2,5
97.02,105,91,6,8
54.21,105,91,5,9
785.2,104,101,0,3
E942.9,104,89,5,10
535.41,104,90,2,12
873.43,104,96,1,7
592.1,104,98,1,5
758.0,103,96,1,6
482.82,103,98,0,5
V49.72,102,86,9,7
801.26,102,91,3,8
V02.59,102,94,3,5
E929.0,102,87,5,10
V10.41,102,96,3,3
577.8,102,80,9,13
38.12,102,92,1,9
83.09,102,95,2,5
304.00,102,90,6,6
E878.3,101,78,6,17
E947.9,101,86,3,12
112.1,101,91,4,6
81.52,101,92,3,6
691.0,101,101,0,0
88.44,101,90,2,9
707.13,100,91,4,5
78.17,100,89,0,11
444.89,100,95,1,4
39.56,100,90,1,9
805.07,100,86,2,12
574.00,100,90,4,6
440.4,100,80,2,18
909.2,100,87,4,9
278.03,99,79,8,12
574.50,99,83,7,9
455.2,99,80,6,13
807.2,99,82,5,12
274.01,99,76,8,15
287.31,98,82,4,12
38.08,98,91,3,4
88.43,98,89,5,4
852.00,98,90,1,7
39.32,98,87,6,5
V10.43,98,84,2,12
E881.0,98,82,2,14
86.07,98,88,4,6
775.7,98,98,0,0
08.81,97,89,1,7
84.15,97,90,2,5
151.0,97,86,2,9
429.89,97,84,3,10
39.98,97,89,3,5
289.84,97,73,7,17
521.00,97,84,3,10
197.4,97,86,6,5
569.3,97,86,2,9
