code	desc
011.6	tuberculous pneumonia [any form]
011.60	tuberculous pneumonia [any form], unspecified examination
011.61	tuberculous pneumonia [any form], bacteriological or histological examination not done
011.62	tuberculous pneumonia [any form], bacteriological or histological examination unknown (at present)
011.63	tuberculous pneumonia [any form], tubercle bacilli found (in sputum) by microscopy
011.64	tuberculous pneumonia [any form], tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.65	tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.66	tuberculous pneumonia [any form], tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods (inoculation of animals)
011.7	tuberculous pneumothorax
011.70	tuberculous pneumothorax, unspecified examination
011.71	tuberculous pneumothorax, bacteriological or histological examination not done
011.72	tuberculous pneumothorax, bacteriological or histological examination unknown (at present)
011.73	tuberculous pneumothorax, tubercle bacilli found (in sputum) by microscopy
011.74	tuberculous pneumothorax, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.75	tuberculous pneumothorax, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.76	tuberculous pneumothorax, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011.8	other specified pulmonary tuberculosis
011.80	other specified pulmonary tuberculosis, unspecified examination
011.81	other specified pulmonary tuberculosis, bacteriological or histological examination not done
011.82	other specified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)
011.83	other specified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy
011.84	other specified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.85	other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.86	other specified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
011.9	unspecified pulmonary tuberculosis
011.90	unspecified pulmonary tuberculosis, unspecified examination
011.91	unspecified pulmonary tuberculosis, bacteriological or histological examination not done
011.92	unspecified pulmonary tuberculosis, bacteriological or histological examination unknown (at present)
011.93	unspecified pulmonary tuberculosis, tubercle bacilli found (in sputum) by microscopy
011.94	unspecified pulmonary tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
011.95	unspecified pulmonary tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
011.96	unspecified pulmonary tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
012	other respiratory tuberculosis
012.0	tuberculous pleurisy
012.00	tuberculous pleurisy, unspecified examination
012.01	tuberculous pleurisy, bacteriological or histological examination not done
012.02	tuberculous pleurisy, bacteriological or histological examination unknown (at present)
012.03	tuberculous pleurisy, tubercle bacilli found (in sputum) by microscopy
012.04	tuberculous pleurisy, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
012.05	tuberculous pleurisy, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
012.06	tuberculous pleurisy, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
012.1	tuberculosis of intrathoracic lymph nodes
012.10	tuberculosis of intrathoracic lymph nodes, unspecified examination
012.11	tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination not done
012.12	tuberculosis of intrathoracic lymph nodes, bacteriological or histological examination unknown (at present)
012.13	tuberculosis of intrathoracic lymph nodes, tubercle bacilli found (in sputum) by microscopy
012.14	tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
012.15	tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
012.16	tuberculosis of intrathoracic lymph nodes, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
012.2	isolated tracheal or bronchial tuberculosis
012.20	isolated tracheal or bronchial tuberculosis, unspecified examination
012.21	isolated tracheal or bronchial tuberculosis, bacteriological or histological examination not done
012.22	isolated tracheal or bronchial tuberculosis, bacteriological or histological examination unknown (at present)
012.23	isolated tracheal or bronchial tuberculosis, tubercle bacilli found (in sputum) by microscopy
012.24	isolated tracheal or bronchial tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
012.25	isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
012.26	isolated tracheal or bronchial tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
012.3	tuberculous laryngitis
012.30	tuberculous laryngitis, unspecified examination
012.31	tuberculous laryngitis, bacteriological or histological examination not done
012.32	tuberculous laryngitis, bacteriological or histological examination unknown (at present)
012.33	tuberculous laryngitis, tubercle bacilli found (in sputum) by microscopy
012.34	tuberculous laryngitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
012.35	tuberculous laryngitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
012.36	tuberculous laryngitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
012.8	other specified respiratory tuberculosis
012.80	other specified respiratory tuberculosis, unspecified examination
012.81	other specified respiratory tuberculosis, bacteriological or histological examination not done
012.82	other specified respiratory tuberculosis, bacteriological or histological examination unknown (at present)
012.83	other specified respiratory tuberculosis, tubercle bacilli found (in sputum) by microscopy
012.84	other specified respiratory tuberculosis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
012.85	other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
012.86	other specified respiratory tuberculosis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
013	tuberculosis of meninges and central nervous system
013.0	tuberculous meningitis
013.00	tuberculous meningitis, unspecified examination
013.01	tuberculous meningitis, bacteriological or histological examination not done
013.02	tuberculous meningitis, bacteriological or histological examination unknown (at present)
013.03	tuberculous meningitis, tubercle bacilli found (in sputum) by microscopy
013.04	tuberculous meningitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.05	tuberculous meningitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.06	tuberculous meningitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
013.1	tuberculoma of meninges
013.10	tuberculoma of meninges, unspecified examination
013.11	tuberculoma of meninges, bacteriological or histological examination not done
013.12	tuberculoma of meninges, bacteriological or histological examination unknown (at present)
013.13	tuberculoma of meninges, tubercle bacilli found (in sputum) by microscopy
013.14	tuberculoma of meninges, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.15	tuberculoma of meninges, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.16	tuberculoma of meninges, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
013.2	tuberculoma of brain
013.20	tuberculoma of brain, unspecified examination
013.21	tuberculoma of brain, bacteriological or histological examination not done
013.22	tuberculoma of brain, bacteriological or histological examination unknown (at present)
013.23	tuberculoma of brain, tubercle bacilli found (in sputum) by microscopy
013.24	tuberculoma of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.25	tuberculoma of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.26	tuberculoma of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
013.3	tuberculous abscess of brain
013.30	tuberculous abscess of brain, unspecified examination
013.31	tuberculous abscess of brain, bacteriological or histological examination not done
013.32	tuberculous abscess of brain, bacteriological or histological examination unknown (at present)
013.33	tuberculous abscess of brain, tubercle bacilli found (in sputum) by microscopy
013.34	tuberculous abscess of brain, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.35	tuberculous abscess of brain, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.36	tuberculous abscess of brain, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
013.4	tuberculoma of spinal cord
013.40	tuberculoma of spinal cord, unspecified examination
013.41	tuberculoma of spinal cord, bacteriological or histological examination not done
013.42	tuberculoma of spinal cord, bacteriological or histological examination unknown (at present)
013.43	tuberculoma of spinal cord, tubercle bacilli found (in sputum) by microscopy
013.44	tuberculoma of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.45	tuberculoma of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.46	tuberculoma of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
013.5	tuberculous abscess of spinal cord
013.50	tuberculous abscess of spinal cord, unspecified examination
013.51	tuberculous abscess of spinal cord, bacteriological or histological examination not done
013.52	tuberculous abscess of spinal cord, bacteriological or histological examination unknown (at present)
013.53	tuberculous abscess of spinal cord, tubercle bacilli found (in sputum) by microscopy
013.54	tuberculous abscess of spinal cord, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.55	tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.56	tuberculous abscess of spinal cord, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
013.6	tuberculous encephalitis or myelitis
013.60	tuberculous encephalitis or myelitis, unspecified examination
013.61	tuberculous encephalitis or myelitis, bacteriological or histological examination not done
013.62	tuberculous encephalitis or myelitis, bacteriological or histological examination unknown (at present)
013.63	tuberculous encephalitis or myelitis, tubercle bacilli found (in sputum) by microscopy
013.64	tuberculous encephalitis or myelitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.65	tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.66	tuberculous encephalitis or myelitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
013.8	other specified tuberculosis of central nervous system
013.80	other specified tuberculosis of central nervous system, unspecified examination
013.81	other specified tuberculosis of central nervous system, bacteriological or histological examination not done
013.82	other specified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)
013.83	other specified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy
013.84	other specified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.85	other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.86	other specified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
013.9	unspecified tuberculosis of central nervous system
013.90	unspecified tuberculosis of central nervous system, unspecified examination
013.91	unspecified tuberculosis of central nervous system, bacteriological or histological examination not done
013.92	unspecified tuberculosis of central nervous system, bacteriological or histological examination unknown (at present)
013.93	unspecified tuberculosis of central nervous system, tubercle bacilli found (in sputum) by microscopy
013.94	unspecified tuberculosis of central nervous system, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
013.95	unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
013.96	unspecified tuberculosis of central nervous system, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
014	tuberculosis of intestines, peritoneum, and mesenteric glands
014.0	tuberculous peritonitis
014.00	tuberculous peritonitis, unspecified examination
014.01	tuberculous peritonitis, bacteriological or histological examination not done
014.02	tuberculous peritonitis, bacteriological or histological examination unknown (at present)
014.03	tuberculous peritonitis, tubercle bacilli found (in sputum) by microscopy
014.04	tuberculous peritonitis, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
014.05	tuberculous peritonitis, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
014.06	tuberculous peritonitis, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
014.8	tuberculosis of intestines and mesenteric glands
014.80	tuberculosis of intestines and mesenteric glands, unspecified examination
014.81	tuberculosis of intestines and mesenteric glands, bacteriological or histological examination not done
014.82	tuberculosis of intestines and mesenteric glands, bacteriological or histological examination unknown (at present)
014.83	tuberculosis of intestines and mesenteric glands, tubercle bacilli found (in sputum) by microscopy
014.84	tuberculosis of intestines and mesenteric glands, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture
014.85	tuberculosis of intestines and mesenteric glands, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically
014.86	tuberculosis of intestines and mesenteric glands, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]
015	tuberculosis of bones and joints
015.0	tuberculosis of vertebral column
015.00	tuberculosis of vertebral column, unspecified examination
015.01	tuberculosis of vertebral column, bacteriological or histological examination not done
015.02	tuberculosis of vertebral column, bacteriological or histological examination unknown (at present)
015.03	tuberculosis of vertebral column, tubercle bacilli found (in sputum) by microscopy
